account,entry_collect,entry_collect.OpenLessPreMktLow,entry_collect.SPYGap,entry_collect.SPYLastLessOpen,entry_collect.SPYNetpercChange,entry_collect.VWAPLessLast,entry_collect.breakTime,entry_collect.dayHighLessPreMktLow,entry_collect.gap,entry_collect.highLessOpen,entry_collect.preMktBars,entry_collect.preMktLowLessLast,entry_collect.preMktRange,entry_collect.rvol,entry_collect.spread,entry_collect.vxxRVOL,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
Cloud,,0.0432811375,1.2032466632,0.1125369014,0.5621433258,0.1635868598,2018-02-23 09:31:00.261000,0.1298450636,-16.2261552534,0.0865639261,24.0,0.1774553055,0.5626630431,40.1548652649,0.1211885059,1.8282976151,0.37,-79.1200065613,19.5100002289,-86.0,-1.0,2018-02-23 09:31:00.262700,,0.32,20.4300003052,86.0,1.0,2018-02-23 09:49:09.306700,-86.0,-79.1200065613,RDFN
Cloud,,0.0145306266,0.1245500381,0.0290612532,0.3182649612,0.1632697837,2017-04-17 09:59:42.948000,0.4857394471,-24.9414334582,0.4712088204,85.0,0.0020762563,0.6497288524,8.8571481705,0.0020762563,1.1882287264,0.13,-49.3998718262,124.870002747,-20.0,-1.0,2017-04-17 09:59:42.949700,,0.07,127.339996338,20.0,1.0,2017-04-17 14:14:37.139700,-20.0,-49.3998718262,INCY
Cloud,,0.3142011248,-3.142019239,-0.3558679424,-0.7718801498,0.1827405214,2016-09-13 09:45:58.491000,0.3142011248,-61.8403847808,0.0,52.0,0.0033520433,0.5027225988,4.127904892,0.0209472744,3.8442533016,0.94,37.6200637817,29.8400001526,-209.0,-1.0,2016-09-13 09:45:58.492700,,0.78,29.6599998474,209.0,1.0,2016-09-13 15:45:01.263700,-209.0,37.6200637817,VOD
Cloud,,0.0765066296,-2.8690013443,0.1147553842,-0.6656229496,0.0130769891,2016-09-13 09:43:11.561000,0.1243244131,-19.3699088151,0.0478177835,64.0,0.0765066296,0.8224476357,4.387567997,0.0191271134,4.0145530701,0.77,84.0399198532,10.5699996948,-191.0,-1.0,2016-09-13 09:43:11.562700,,0.7,10.1300001144,191.0,1.0,2016-09-13 15:45:00.037700,-191.0,84.0399198532,FCX
Cloud,,0.3566278779,-5.4114484761,0.9690974138,-1.4410018921,0.1806018006,2016-01-07 09:40:44.773000,0.496178142,-6.6132290462,0.1395502642,86.0,0.186066526,1.6125780374,7.087199688,0.0155051742,3.4004428387,0.61,151.900002956,4.5599999428,-155.0,-1.0,2016-01-07 09:40:44.774700,,0.58,3.5799999237,155.0,1.0,2016-01-07 15:45:00.004700,-155.0,151.900002956,SUNE
Cloud,,0.1580936867,0.2740435311,-0.0421679659,0.0875711441,0.0977597086,2017-10-02 09:32:13.763000,0.2107956029,-65.5057573931,0.0527019162,45.0,0.0316219538,0.6850806835,13.8545999527,0.0527019162,2.9551706314,0.52,-55.0003051758,62.9199981689,-100.0,-1.0,2017-10-02 09:32:13.764700,,0.37,63.4700012207,100.0,1.0,2017-10-02 09:33:10.842700,-100.0,-55.0003051758,LVS
Cloud,,0.1661555186,0.7200292551,-0.110793234,0.0875711441,0.1476272446,2017-10-02 09:36:19.332000,0.1661555186,-22.0954559856,0.0,35.0,0.0055380771,0.8861583642,15.7202205658,0.0276903856,1.5617535114,1.1,-5.5198631287,8.2700004578,-276.0,-1.0,2017-10-02 09:36:19.333700,,1.02,8.2899999619,276.0,1.0,2017-10-02 15:47:00.701700,-276.0,-5.5198631287,BOIL
Cloud,,0.1708212703,0.3416550719,0.0394186544,0.1154303551,0.0996735141,2017-10-02 09:43:58.453000,0.1971020441,-13.0073316304,0.0262807738,89.0,0.0065701934,0.9855064609,8.9431648254,0.0131391338,1.3114262819,0.53,-6.5499000549,10.5200004578,-131.0,-1.0,2017-10-02 09:43:58.454700,,0.48,10.5699996948,131.0,1.0,2017-10-02 15:45:05.404700,-131.0,-6.5499000549,UGAZ
Cloud,,0.0062492633,-0.1125058136,-0.0156219661,-0.187510252,0.1592994467,2016-08-12 09:38:15.912000,0.4250190484,-30.0953040965,0.4187697851,48.0,0.0093774714,0.6312805014,5.7477006912,0.0281276456,4.2028551102,0.18,-3.100189209,99.4499969482,-31.0,-1.0,2016-08-12 09:38:15.913700,,0.11,99.5500030518,31.0,1.0,2016-08-12 15:45:05.039700,-31.0,-3.100189209,WYNN
Cloud,,0.2188705127,0.2261649904,-0.0437724327,0.1169800758,0.1338604711,2016-10-19 09:32:00.791000,0.2918292056,-38.6156629846,0.0729586929,29.0,0.1605063414,0.5471776732,34.8270530701,0.1459146028,4.6841230392,0.36,59.0399780273,53.7700004578,-72.0,-1.0,2016-10-19 09:32:00.792700,,0.27,52.9500007629,72.0,1.0,2016-10-19 15:45:11.145700,-72.0,59.0399780273,MANH
